Cycle 1
Body 0 : 10.05	20	1	3.57464e-13
Body 1 : 14.95	25	-1	1.96321e-13
Body 2 : 5	30.1	1.97362e-13	2
Body 3 : 25.025	34.95	0.5	-1
Body 4 : 29.9	40	-2	-2.64905e-14
Body 5 : 20	49.95	-4.29321e-14	-1
Body 6 : 10.075	60	1.5	2.66163e-13
Body 7 : 15	70.05	-1.27866e-13	1
Body 8 : 4.95	80	-1	1.86053e-14
Body 9 : 25	89.975	-3.597e-14	-0.5
Body 10 : 29.95	100	-1	2.89813e-14
Body 11 : 20	110.025	-5.36792e-14	0.5
Body 12 : 10.025	120	0.5	3.86846e-13
Body 13 : 14.975	130	-0.5	-2.62808e-14
Body 14 : 5	139.95	4.36569e-13	-1
Body 15 : 25.05	150	1	5.3204e-13
Body 16 : 29.95	160	-1	-4.02898e-14
Body 17 : 20	169.975	-7.02279e-14	-0.5
Body 18 : 10	180.025	5.68294e-13	0.5
Body 19 : 14.925	190	-1.5	-1.11195e-13
Body 20 : 5	200.05	6.02506e-13	1
Body 21 : 25.025	210	0.5	6.60927e-13
Body 22 : 30	220.025	-8.30953e-13	0.5
Body 23 : 20	229.95	-8.71863e-14	-1
Body 24 : 9.975	240	-0.5	5.72948e-13
Body 25 : 15	249.975	-4.08921e-13	-0.5
Body 26 : 5.05	260	1	-2.30098e-13
Body 27 : 25	270.05	-9.20332e-14	1
Body 28 : 29.95	280	-1	-1.87107e-13
Body 29 : 20	290	-1.04197e-13	1.53247e-13
Body 30 : 10	300	9.15574e-13	6.63658e-13
Body 31 : 15	310	-5.03082e-13	-2.85982e-13
Body 32 : 5	320	9.34076e-13	-3.18045e-13
Body 33 : 25	330	-1.11246e-13	9.14861e-13
Body 34 : 30	340	-1.24851e-12	-2.62196e-13
Body 35 : 20	350	-1.21216e-13	1.45934e-13
Body 36 : 10	360	1.08912e-12	7.53282e-13
Body 37 : 15	370	-5.97271e-13	-3.75027e-13
Body 38 : 5	380	1.09974e-12	-4.0713e-13
Body 39 : 25	390	-1.30434e-13	1.04014e-12
Body 40 : 30	400	-1.45722e-12	-3.38487e-13
Body 41 : 20	410	-1.38231e-13	1.37375e-13
Body 42 : 10	420	1.26262e-12	8.41612e-13
Body 43 : 15	430	-6.91479e-13	-4.65415e-13
Body 44 : 5	440	1.26534e-12	-4.97615e-13
Body 45 : 25	450	-1.49591e-13	1.16395e-12
Body 46 : 30	460	-1.66587e-12	-4.163e-13
Body 47 : 20	470	-1.55238e-13	1.27225e-13
Body 48 : 10	480	1.43608e-12	9.28277e-13
